regime,regime_label,n_pairs,method,target_null,reference_valid_in_regime,interpretation,trial_count,rejection_count,rejection_rate,monte_carlo_standard_error,wilson_95_ci_low,wilson_95_ci_high,accuracy_mean,p_value_median
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",40,original_binomial_c2st,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,0.5626853438097896
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",40,pair_preserving_binomial,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,0.5626853438097896
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",40,paired_mcnemar,H0_dist: P_A = P_B,True,type_i_calibration,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,1.0
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",40,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,False,sensitivity_to_swap_null_violation_under_H0_dist,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,0.665
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",80,original_binomial_c2st,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,0.5444639393869535
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",80,pair_preserving_binomial,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,0.5444639393869535
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",80,paired_mcnemar,H0_dist: P_A = P_B,True,type_i_calibration,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,1.0
cyclic_nonexchangeable,"D. Equal marginals, nonexchangeable i.i.d. pairs",80,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,False,sensitivity_to_swap_null_violation_under_H0_dist,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,0.655
exact_copy,C. Exact-copy pairs,40,original_binomial_c2st,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.24830000000000002,0.9996602258725034
exact_copy,C. Exact-copy pairs,40,pair_preserving_binomial,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,0.5626853438097896
exact_copy,C. Exact-copy pairs,40,paired_mcnemar,H0_dist: P_A = P_B,True,type_i_calibration,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.5,1.0
