s1,s2,comparison,method,target_null,n_samples,n_pairs,repeats,k,n_test_examples,accuracy_mean,accuracy_median,accuracy_minimum,accuracy_maximum,p_value_mean,p_value_median,p_value_minimum,p_value_maximum,rejection_count,rejection_rate,alpha,result_file
5,5,s-p,original_binomial_c2st,H0_dist: P_A = P_B,213,213,100,14,212,1.0,1.0,1.0,1.0,1.5192908393215678e-64,1.5192908393215678e-64,1.5192908393215678e-64,1.5192908393215678e-64,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181025435043Z.json
5,5,s-p,paired_mcnemar,H0_dist: P_A = P_B,213,213,100,14,212,1.0,1.0,1.0,1.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181025431120Z.json
5,5,s-p,paired_swap_permutation,,213,213,100,14,212,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T205913736897Z.json
5,5,s-p-matched,original_binomial_c2st,H0_dist: P_A = P_B,213,106,100,10,106,1.0,1.0,1.0,1.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181022017437Z.json
5,5,s-p-matched,paired_mcnemar,H0_dist: P_A = P_B,213,106,100,10,106,1.0,1.0,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181022062251Z.json
5,5,s-p-matched,paired_swap_permutation,,213,106,100,10,106,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__permutation__repeats-100__seed-0__20260817T200603548362Z.json
5,5,s-s,original_binomial_c2st,H0_dist: P_A = P_B,213,106,100,10,106,0.42358490566037743,0.42452830188679247,0.3490566037735849,0.5094339622641509,0.9189943313563976,0.9508787477887809,0.46134257972063764,0.9993798801428012,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181023645424Z.json
5,5,s-s,paired_mcnemar,H0_dist: P_A = P_B,213,106,100,10,106,0.4999056603773584,0.5,0.44339622641509435,0.5471698113207547,0.621064453125,0.65625,0.0625,1.0,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181023712820Z.json
5,5,s-s,paired_swap_permutation,,213,106,100,10,106,0.4999056603773584,0.5,0.44339622641509435,0.5471698113207547,0.55326,0.5754999999999999,0.029,0.997,2,0.02,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__permutation__repeats-100__seed-0__20260817T200620841160Z.json
5,5,p-p,original_binomial_c2st,H0_dist: P_A = P_B,213,106,100,10,106,0.42688679245283034,0.4339622641509434,0.330188679245283,0.5,0.899838384173123,0.9276088303349747,0.5386574202793624,0.9998577356905419,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181025288898Z.json
5,5,p-p,paired_mcnemar,H0_dist: P_A = P_B,213,106,100,10,106,0.5014150943396225,0.5047169811320755,0.41509433962264153,0.5754716981132075,0.5718599700927735,0.5490951538085938,0.00390625,1.0,2,0.02,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181025397960Z.json
5,5,p-p,paired_swap_permutation,,213,106,100,10,106,0.5014150943396225,0.5047169811320755,0.41509433962264153,0.5754716981132075,0.52494,0.5015000000000001,0.007,0.997,3,0.03,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-5__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T200611174835Z.json
5,10,s-p,original_binomial_c2st,H0_dist: P_A = P_B,142,142,100,11,142,1.0,1.0,1.0,1.0,1.793662034335766e-43,1.793662034335766e-43,1.793662034335766e-43,1.793662034335766e-43,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181027784992Z.json
