s1,s2,comparison,method,target_null,n_samples,n_pairs,repeats,k,n_test_examples,accuracy_mean,accuracy_median,accuracy_minimum,accuracy_maximum,p_value_mean,p_value_median,p_value_minimum,p_value_maximum,rejection_count,rejection_rate,alpha,result_file
5,0,s-p,original_binomial_c2st,H0_dist: P_A = P_B,426,426,100,20,426,1.0,1.0,1.0,1.0,5.770611636116085e-129,5.770611636116085e-129,5.770611636116085e-129,5.770611636116085e-129,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T211236004225Z.json
5,0,s-p,paired_mcnemar,H0_dist: P_A = P_B,426,426,100,20,426,1.0,1.0,1.0,1.0,7.596454196607839e-65,7.596454196607839e-65,7.596454196607839e-65,7.596454196607839e-65,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T211236209821Z.json
5,0,s-p,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,426,426,100,20,426,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260822T053638128123Z.json
5,0,s-p-matched,original_binomial_c2st,H0_dist: P_A = P_B,426,213,100,14,212,1.0,1.0,1.0,1.0,1.5192908393215678e-64,1.5192908393215678e-64,1.5192908393215678e-64,1.5192908393215678e-64,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T211222512611Z.json
5,0,s-p-matched,paired_mcnemar,H0_dist: P_A = P_B,426,213,100,14,212,1.0,1.0,1.0,1.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T211228079379Z.json
5,0,s-p-matched,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,426,213,100,14,212,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260821T223234241825Z.json
5,0,s-s,original_binomial_c2st,H0_dist: P_A = P_B,426,213,100,14,212,0.4341981132075472,0.4339622641509434,0.38207547169811323,0.4858490566037736,0.954033479605441,0.9769274301516556,0.6846050567042878,0.9997830374433164,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T211241555880Z.json
5,0,s-s,paired_mcnemar,H0_dist: P_A = P_B,426,213,100,14,212,0.49853773584905653,0.5,0.46226415094339623,0.5283018867924528,0.6034402656555176,0.63671875,0.0546875,0.9990234375,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T211241743777Z.json
5,0,s-s,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,426,213,100,14,212,0.49853773584905653,0.5,0.46226415094339623,0.5283018867924528,0.56594,0.563,0.029,0.988,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260821T223247302263Z.json
5,0,p-p,original_binomial_c2st,H0_dist: P_A = P_B,426,213,100,14,212,0.4397169811320755,0.4410377358490566,0.36792452830188677,0.5,0.9233113469981121,0.9627076960409695,0.5273671767790018,0.9999588183110886,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-5__s2-0__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T211247225371Z.json
